areaperil_id,lon,lat,IMTs
1,-72.05,18.55,SA(0.3)
2,-72.05,18.6,SA(0.3)
3,-72.05,18.65,SA(0.3)
4,-72.0,18.4,SA(0.3)
5,-72.0,18.45,SA(0.3)
6,-72.0,18.5,SA(0.3)
7,-72.0,18.55,SA(0.3)
8,-72.0,18.6,SA(0.3)
9,-72.0,18.65,SA(0.3)
10,-72.0,18.7,SA(0.3)
11,-71.95,18.35,SA(0.3)
12,-71.95,18.4,SA(0.3)
13,-71.95,18.45,SA(0.3)
14,-71.95,18.5,SA(0.3)
15,-71.95,18.55,SA(0.3)
16,-71.95,18.6,SA(0.3)
17,-71.95,18.65,SA(0.3)
18,-71.95,18.7,SA(0.3)
19,-71.9,18.35,SA(0.3)
20,-71.9,18.4,SA(0.3)
21,-71.9,18.45,SA(0.3)
22,-71.9,18.5,SA(0.3)
23,-71.9,18.55,SA(0.3)
24,-71.9,18.6,SA(0.3)
25,-71.9,18.65,SA(0.3)
26,-71.9,18.7,SA(0.3)
27,-71.85,18.0,SA(0.3)
28,-71.85,18.05,SA(0.3)
29,-71.85,18.1,SA(0.3)
30,-71.85,18.15,SA(0.3)
31,-71.85,18.2,SA(0.3)
32,-71.85,18.25,SA(0.3)
33,-71.85,18.3,SA(0.3)
34,-71.85,18.35,SA(0.3)
35,-71.85,18.4,SA(0.3)
36,-71.85,18.45,SA(0.3)
37,-71.85,18.5,SA(0.3)
38,-71.85,18.55,SA(0.3)
39,-71.85,18.6,SA(0.3)
40,-71.85,18.65,SA(0.3)
41,-71.85,18.7,SA(0.3)
42,-71.85,18.75,SA(0.3)
43,-71.85,18.9,SA(0.3)
44,-71.85,18.95,SA(0.3)
45,-71.85,19.0,SA(0.3)
46,-71.85,19.7,SA(0.3)
47,-71.85,19.75,SA(0.3)
48,-71.85,19.8,SA(0.3)
49,-71.8,17.95,SA(0.3)
50,-71.8,18.0,SA(0.3)
51,-71.8,18.05,SA(0.3)
52,-71.8,18.1,SA(0.3)
53,-71.8,18.15,SA(0.3)
54,-71.8,18.2,SA(0.3)
55,-71.8,18.25,SA(0.3)
56,-71.8,18.3,SA(0.3)
57,-71.8,18.35,SA(0.3)
58,-71.8,18.4,SA(0.3)
59,-71.8,18.45,SA(0.3)
60,-71.8,18.5,SA(0.3)
61,-71.8,18.55,SA(0.3)
62,-71.8,18.6,SA(0.3)
63,-71.8,18.65,SA(0.3)
64,-71.8,18.7,SA(0.3)
65,-71.8,18.75,SA(0.3)
66,-71.8,18.8,SA(0.3)
67,-71.8,18.85,SA(0.3)
68,-71.8,18.9,SA(0.3)
69,-71.8,18.95,SA(0.3)
70,-71.8,19.0,SA(0.3)
71,-71.8,19.05,SA(0.3)
72,-71.8,19.1,SA(0.3)
73,-71.8,19.25,SA(0.3)
74,-71.8,19.3,SA(0.3)
75,-71.8,19.35,SA(0.3)
76,-71.8,19.4,SA(0.3)
77,-71.8,19.55,SA(0.3)
78,-71.8,19.6,SA(0.3)
79,-71.8,19.65,SA(0.3)
80,-71.8,19.7,SA(0.3)
81,-71.8,19.75,SA(0.3)
82,-71.8,19.8,SA(0.3)
83,-71.8,19.85,SA(0.3)
84,-71.75,17.95,SA(0.3)
85,-71.75,18.0,SA(0.3)
86,-71.75,18.05,SA(0.3)
87,-71.75,18.1,SA(0.3)
88,-71.75,18.15,SA(0.3)
89,-71.75,18.2,SA(0.3)
90,-71.75,18.25,SA(0.3)
91,-71.75,18.3,SA(0.3)
92,-71.75,18.35,SA(0.3)
93,-71.75,18.4,SA(0.3)
94,-71.75,18.45,SA(0.3)
95,-71.75,18.5,SA(0.3)
96,-71.75,18.55,SA(0.3)
97,-71.75,18.6,SA(0.3)
98,-71.75,18.65,SA(0.3)
99,-71.75,18.7,SA(0.3)
100,-71.75,18.75,SA(0.3)
101,-71.75,18.8,SA(0.3)
102,-71.75,18.85,SA(0.3)
103,-71.75,18.9,SA(0.3)
104,-71.75,18.95,SA(0.3)
105,-71.75,19.0,SA(0.3)
106,-71.75,19.05,SA(0.3)
107,-71.75,19.1,SA(0.3)
108,-71.75,19.15,SA(0.3)
109,-71.75,19.2,SA(0.3)
110,-71.75,19.25,SA(0.3)
111,-71.75,19.3,SA(0.3)
112,-71.75,19.35,SA(0.3)
113,-71.75,19.4,SA(0.3)
114,-71.75,19.45,SA(0.3)
115,-71.75,19.5,SA(0.3)
116,-71.75,19.55,SA(0.3)
117,-71.75,19.6,SA(0.3)
118,-71.75,19.65,SA(0.3)
119,-71.75,19.7,SA(0.3)
120,-71.75,19.75,SA(0.3)
121,-71.75,19.8,SA(0.3)
122,-71.75,19.85,SA(0.3)
123,-71.75,19.9,SA(0.3)
124,-71.75,19.95,SA(0.3)
125,-71.7,17.8,SA(0.3)
126,-71.7,17.85,SA(0.3)
127,-71.7,17.9,SA(0.3)
128,-71.7,17.95,SA(0.3)
129,-71.7,18.0,SA(0.3)
130,-71.7,18.05,SA(0.3)
131,-71.7,18.1,SA(0.3)
132,-71.7,18.15,SA(0.3)
133,-71.7,18.2,SA(0.3)
134,-71.7,18.25,SA(0.3)
135,-71.7,18.3,SA(0.3)
136,-71.7,18.35,SA(0.3)
137,-71.7,18.4,SA(0.3)
138,-71.7,18.45,SA(0.3)
139,-71.7,18.5,SA(0.3)
140,-71.7,18.55,SA(0.3)
141,-71.7,18.6,SA(0.3)
142,-71.7,18.65,SA(0.3)
143,-71.7,18.7,SA(0.3)
144,-71.7,18.75,SA(0.3)
145,-71.7,18.8,SA(0.3)
146,-71.7,18.85,SA(0.3)
147,-71.7,18.9,SA(0.3)
148,-71.7,18.95,SA(0.3)
149,-71.7,19.0,SA(0.3)
150,-71.7,19.05,SA(0.3)
151,-71.7,19.1,SA(0.3)
152,-71.7,19.15,SA(0.3)
153,-71.7,19.2,SA(0.3)
154,-71.7,19.25,SA(0.3)
155,-71.7,19.3,SA(0.3)
156,-71.7,19.35,SA(0.3)
157,-71.7,19.4,SA(0.3)
158,-71.7,19.45,SA(0.3)
159,-71.7,19.5,SA(0.3)
160,-71.7,19.55,SA(0.3)
161,-71.7,19.6,SA(0.3)
162,-71.7,19.65,SA(0.3)
163,-71.7,19.7,SA(0.3)
164,-71.7,19.75,SA(0.3)
165,-71.7,19.8,SA(0.3)
166,-71.7,19.85,SA(0.3)
167,-71.7,19.9,SA(0.3)
168,-71.7,19.95,SA(0.3)
169,-71.65,17.75,SA(0.3)
170,-71.65,17.8,SA(0.3)
171,-71.65,17.85,SA(0.3)
172,-71.65,17.9,SA(0.3)
173,-71.65,17.95,SA(0.3)
174,-71.65,18.0,SA(0.3)
175,-71.65,18.05,SA(0.3)
176,-71.65,18.1,SA(0.3)
177,-71.65,18.15,SA(0.3)
178,-71.65,18.2,SA(0.3)
179,-71.65,18.25,SA(0.3)
180,-71.65,18.3,SA(0.3)
181,-71.65,18.35,SA(0.3)
182,-71.65,18.4,SA(0.3)
183,-71.65,18.45,SA(0.3)
184,-71.65,18.5,SA(0.3)
185,-71.65,18.55,SA(0.3)
186,-71.65,18.6,SA(0.3)
187,-71.65,18.65,SA(0.3)
188,-71.65,18.7,SA(0.3)
189,-71.65,18.75,SA(0.3)
190,-71.65,18.8,SA(0.3)
191,-71.65,18.85,SA(0.3)
192,-71.65,18.9,SA(0.3)
193,-71.65,18.95,SA(0.3)
194,-71.65,19.0,SA(0.3)
195,-71.65,19.05,SA(0.3)
196,-71.65,19.1,SA(0.3)
197,-71.65,19.15,SA(0.3)
198,-71.65,19.2,SA(0.3)
199,-71.65,19.25,SA(0.3)
200,-71.65,19.3,SA(0.3)
201,-71.65,19.35,SA(0.3)
202,-71.65,19.4,SA(0.3)
203,-71.65,19.45,SA(0.3)
204,-71.65,19.5,SA(0.3)
205,-71.65,19.55,SA(0.3)
206,-71.65,19.6,SA(0.3)
207,-71.65,19.65,SA(0.3)
208,-71.65,19.7,SA(0.3)
209,-71.65,19.75,SA(0.3)
210,-71.65,19.8,SA(0.3)
211,-71.65,19.85,SA(0.3)
212,-71.65,19.9,SA(0.3)
213,-71.65,19.95,SA(0.3)
214,-71.6,17.5,SA(0.3)
215,-71.6,17.55,SA(0.3)
216,-71.6,17.6,SA(0.3)
217,-71.6,17.65,SA(0.3)
218,-71.6,17.7,SA(0.3)
219,-71.6,17.75,SA(0.3)
220,-71.6,17.8,SA(0.3)
221,-71.6,17.85,SA(0.3)
222,-71.6,17.9,SA(0.3)
223,-71.6,17.95,SA(0.3)
224,-71.6,18.0,SA(0.3)
225,-71.6,18.05,SA(0.3)
226,-71.6,18.1,SA(0.3)
