areaperil_id,lat,lon,IMTs
1,18.50177,-69.56508,SA(0.6)
2,19.69201,-70.5175,SA(0.6)
3,19.54058,-70.70451,SA(0.3)
4,19.54058,-70.70451,PGA
5,19.39603,-70.21466,SA(0.6)
6,18.8921,-70.39888,SA(1.0)
7,19.48716,-70.39203,SA(0.6)
8,18.35934,-70.08223,SA(0.3)
9,19.28527,-69.24252,SA(0.6)
10,19.50293,-70.61114,SA(1.0)
11,18.55514,-70.87067,SA(0.6)
12,18.40614,-68.99109,SA(0.6)
13,18.95356,-71.68534,SA(0.6)
14,18.57469,-70.11158,SA(0.3)
15,19.23478,-70.03406,SA(0.6)
16,18.57469,-70.11158,PGA
17,19.2414,-69.3513,SA(0.3)
18,19.79472,-71.16079,SA(0.6)
19,18.9551,-68.92142,SA(0.3)
20,19.16029,-70.60506,SA(0.3)
21,18.61829,-68.7208,PGA
22,19.40131,-70.57064,SA(0.6)
23,18.89418,-71.11847,PGA
24,18.44624,-69.67193,SA(1.0)
25,18.60787,-71.63992,SA(0.6)
26,19.3996,-70.64241,SA(0.6)
27,19.05197,-70.02172,SA(0.6)
28,18.50952,-70.72575,SA(0.3)
29,18.84718,-69.81502,SA(0.3)
30,18.22769,-71.1752,SA(0.3)
31,19.77856,-71.09322,PGA
32,19.03183,-70.32431,SA(0.6)
33,19.58016,-70.86338,SA(0.6)
34,17.86792,-71.34826,SA(0.3)
35,18.37255,-70.36785,SA(1.0)
36,18.71744,-70.765,SA(0.6)
37,18.65147,-71.3268,SA(0.3)
38,17.99142,-71.21532,SA(0.6)
39,19.15991,-70.05499,PGA
40,19.30492,-69.93168,PGA
41,19.44866,-70.4948,SA(0.3)
42,18.34177,-70.19619,PGA
43,19.68185,-71.39182,SA(0.3)
44,19.37736,-69.97813,SA(0.6)
45,19.51038,-71.03294,SA(0.6)
46,18.558,-71.00756,PGA
47,18.45898,-70.83222,PGA
48,18.53626,-70.15541,SA(0.6)
49,18.38716,-71.17515,SA(0.6)
50,18.33656,-71.20364,SA(0.3)
51,18.46366,-69.02002,PGA
52,19.6475,-70.91754,PGA
53,17.82098,-71.4799,SA(0.3)
54,19.77856,-71.09322,SA(0.3)
55,19.34285,-70.47574,SA(0.3)
56,18.43921,-71.35709,PGA
57,18.27361,-70.21242,SA(0.6)
58,18.84797,-70.37647,PGA
59,18.97917,-70.29737,SA(0.3)
60,18.33989,-71.29868,SA(0.3)
61,19.13438,-69.77907,SA(0.3)
62,18.34884,-71.21639,PGA
63,18.7911,-71.39556,SA(0.6)
64,18.70612,-70.90726,SA(0.3)
65,18.55903,-69.61099,SA(0.6)
66,19.33306,-70.68856,SA(0.3)
67,19.83173,-71.17722,PGA
68,19.64358,-71.1261,PGA
69,18.40751,-70.82792,SA(0.3)
70,19.28578,-69.5546,SA(1.0)
71,18.33989,-71.29868,PGA
72,18.57385,-70.87601,SA(0.6)
73,18.34917,-68.63031,PGA
74,19.24319,-70.72795,PGA
75,18.74939,-69.0364,SA(0.6)
76,19.85427,-70.95619,PGA
77,18.64758,-69.32236,PGA
78,18.92894,-71.75544,SA(0.3)
79,18.28757,-71.14281,SA(0.3)
80,18.77765,-70.84377,PGA
81,19.7107,-70.67741,SA(0.3)
82,18.74939,-69.0364,PGA
83,18.84729,-71.68923,SA(0.6)
84,19.18589,-69.73282,SA(0.3)
85,19.78452,-71.61344,PGA
86,18.29759,-71.20934,PGA
87,19.51038,-71.03294,PGA
88,18.70584,-71.65568,SA(0.3)
89,18.89367,-70.28045,SA(0.6)
90,19.10473,-70.30261,SA(1.0)
91,18.28757,-71.14281,PGA
92,19.78452,-71.61344,SA(0.6)
93,18.61829,-68.7208,SA(1.0)
94,18.29759,-71.20934,SA(0.6)
95,18.44938,-71.0469,SA(0.3)
96,19.71732,-71.49589,PGA
97,19.73299,-70.97605,SA(0.3)
98,18.80339,-69.3534,PGA
99,18.43921,-71.35709,SA(0.6)
100,18.77233,-69.83444,PGA
101,18.06619,-71.15303,SA(0.6)
102,19.02361,-69.48301,SA(0.6)
103,18.81997,-69.59906,PGA
104,18.55087,-69.76955,PGA
105,19.6024,-71.71698,PGA
106,18.74869,-69.35623,PGA
107,19.17482,-70.82172,SA(0.3)
108,18.95356,-71.68534,SA(0.3)
109,19.64358,-71.1261,SA(0.6)
110,18.53035,-71.3046,SA(0.3)
111,18.88811,-71.21651,SA(0.3)
112,19.22495,-70.51054,SA(0.6)
113,18.59312,-70.32507,SA(0.6)
114,19.75176,-71.03526,SA(0.6)
115,18.58006,-70.2244,SA(0.6)
116,18.26262,-71.14446,SA(0.3)
117,18.71744,-70.765,PGA
118,18.95406,-71.01431,PGA
119,18.40551,-70.12264,SA(1.0)
120,19.76251,-70.86653,SA(0.6)
121,18.26404,-71.1703,SA(0.3)
122,19.31475,-70.81078,SA(0.6)
123,18.45153,-70.94165,SA(0.6)
124,18.23244,-71.34442,PGA
125,19.81745,-71.01233,SA(0.6)
126,19.60861,-69.97794,SA(0.3)
127,19.05569,-70.24912,SA(0.6)
128,19.30596,-71.64771,SA(0.3)
129,19.16029,-70.60506,PGA
130,18.40551,-70.12264,SA(0.6)
131,18.53465,-70.64852,SA(0.3)
132,18.42605,-71.25716,PGA
133,18.8538,-71.28483,SA(0.3)
134,19.11916,-69.78956,SA(0.3)
135,19.46248,-70.69921,SA(1.0)
136,18.59237,-69.50031,PGA
137,19.11114,-70.08403,SA(0.3)
138,18.22277,-71.09738,SA(0.6)
139,18.86043,-70.96473,SA(0.3)
140,18.8538,-71.28483,PGA
141,18.86043,-70.96473,PGA
142,18.42247,-71.77378,PGA
143,19.04976,-70.82268,PGA
144,19.07911,-70.19937,PGA
145,19.62054,-71.48497,SA(0.3)
146,18.94521,-70.62214,SA(0.6)
147,18.44885,-69.04807,PGA
148,19.50293,-70.61114,PGA
149,19.37647,-70.67144,SA(0.6)
150,19.50293,-70.61114,SA(0.3)
151,17.94289,-71.24431,PGA
152,19.69702,-71.19893,SA(0.6)
153,18.85025,-70.05637,PGA
154,18.57965,-71.58104,PGA
155,18.45143,-70.72964,SA(0.3)
156,18.95406,-71.01431,SA(0.3)
157,18.63165,-70.45625,SA(0.6)
158,18.59237,-69.50031,SA(0.3)
159,19.56666,-71.61247,PGA
160,18.57965,-71.58104,SA(0.6)
161,18.71543,-70.44822,SA(0.3)
162,19.16952,-69.90431,PGA
163,19.51552,-69.93737,SA(0.3)
164,19.58565,-70.94568,SA(1.0)
165,18.47251,-70.23712,SA(0.6)
166,18.52784,-71.42623,SA(0.3)
167,18.16752,-71.17859,SA(0.3)
168,19.05934,-71.64196,PGA
169,18.02897,-71.57117,SA(0.6)
170,19.16952,-69.90431,SA(0.6)
171,19.85427,-70.95619,SA(1.0)
172,19.71136,-71.12614,SA(0.6)
173,18.73886,-71.52038,SA(0.6)
174,18.54821,-70.40873,SA(0.6)
175,19.59446,-70.15117,SA(0.6)
176,18.75608,-70.97669,SA(0.3)
177,19.43268,-70.60517,SA(0.6)
178,19.07693,-71.25961,PGA
179,19.7107,-70.67741,SA(1.0)
180,19.71136,-71.12614,PGA
181,18.18162,-71.70919,SA(0.6)
182,18.34917,-68.63031,SA(0.3)
183,18.58267,-69.95324,SA(0.3)
184,19.70826,-70.5926,SA(0.6)
185,18.89418,-71.11847,SA(0.3)
186,19.25368,-70.29339,SA(0.3)
187,19.6508,-70.35299,SA(0.6)
188,18.61829,-68.7208,SA(0.6)
189,18.3643,-70.88498,SA(0.3)
190,18.79404,-70.64052,PGA
191,18.16752,-71.17859,SA(0.6)
192,18.38663,-70.73844,PGA
193,18.75608,-70.97669,PGA
194,18.85972,-71.63949,SA(0.6)
195,18.89418,-71.11847,SA(0.6)
196,18.86065,-71.1889,SA(0.6)
197,19.50118,-71.51811,SA(0.6)
198,18.63157,-69.88059,SA(0.6)
199,18.45153,-70.94165,SA(0.3)
200,19.11456,-70.36309,SA(0.3)
201,18.54428,-70.00495,SA(0.3)
202,18.64788,-70.09339,PGA
203,19.31957,-70.5388,SA(0.6)
204,18.64788,-70.09339,SA(0.3)
205,19.3905,-70.51666,SA(1.0)
206,18.45898,-70.83222,SA(0.3)
207,18.97917,-70.29737,SA(0.6)
208,18.31159,-68.76492,SA(0.3)
209,18.48846,-70.482,SA(0.3)
210,18.41876,-70.84307,SA(0.3)
211,18.26262,-71.14446,SA(0.6)
212,19.59317,-70.31004,SA(0.3)
213,18.45064,-69.43347,PGA
214,18.41758,-70.54844,SA(0.3)
215,19.14114,-70.42316,SA(0.6)
216,18.84729,-71.68923,PGA
217,19.24319,-70.72795,SA(0.3)
218,19.20098,-70.22393,SA(0.6)
219,18.70465,-71.08923,SA(0.6)
220,18.77491,-70.98981,SA(0.3)
221,18.86427,-69.07946,SA(0.6)
222,19.23409,-70.99304,SA(0.6)
223,18.44948,-70.03886,SA(0.6)
224,18.26689,-70.28968,SA(0.3)
225,19.66342,-71.00429,SA(0.3)
226,18.1999,-71.24659,PGA
227,18.49825,-69.80315,PGA
228,18.3161,-70.91817,SA(0.3)
229,19.26917,-70.64928,SA(0.3)
230,18.558,-71.00756,SA(0.3)
231,19.58979,-71.13881,PGA
232,19.65111,-70.75039,PGA
233,18.48491,-69.94175,SA(0.3)
234,18.85716,-69.93793,SA(0.6)
235,19.17884,-69.83685,SA(0.3)
236,18.96847,-71.32667,SA(0.6)
237,19.49071,-70.57687,SA(0.3)
238,19.09322,-70.67071,SA(0.6)
239,18.50364,-71.08828,SA(0.3)
240,19.4027,-71.58728,SA(0.6)
241,18.80339,-69.3534,SA(0.3)
242,18.96556,-70.13268,PGA
243,19.65939,-71.05378,SA(0.6)
244,19.6508,-70.35299,SA(1.0)
245,18.48504,-69.26954,SA(0.3)
246,18.97874,-69.24121,SA(0.6)
247,19.65939,-71.05378,PGA
248,18.89231,-70.77257,SA(0.3)
249,18.33596,-70.25138,SA(0.3)
250,19.29026,-71.12493,SA(0.6)
251,18.42521,-70.71002,SA(0.6)
252,18.87455,-71.38026,PGA
253,18.86204,-68.73131,SA(1.0)
254,18.66956,-69.77733,SA(0.3)
255,19.02336,-71.73405,SA(0.6)
256,18.56477,-70.03498,SA(1.0)
257,18.71568,-70.07229,SA(0.6)
258,19.29026,-71.12493,PGA
259,19.65111,-70.75039,SA(0.6)
260,19.75453,-71.52799,SA(0.3)
261,19.58565,-70.94568,SA(0.3)
262,18.25205,-70.37186,SA(0.3)
263,19.17482,-70.82172,PGA
264,19.04413,-70.17874,SA(0.6)
265,18.82393,-70.32603,SA(0.3)
266,18.33098,-68.83146,SA(0.6)
267,19.83173,-71.17722,SA(0.6)
268,19.29672,-70.39116,PGA
269,18.5359,-71.50239,PGA
270,18.85716,-69.93793,SA(0.3)
271,18.87886,-70.87995,SA(0.3)
272,17.98857,-71.33787,PGA
273,18.34177,-70.19619,SA(0.6)
274,18.64758,-69.32236,SA(0.3)
275,18.41397,-70.03485,SA(0.6)
276,18.2979,-70.23189,SA(0.3)
277,18.94521,-70.62214,SA(0.3)
278,19.85427,-70.95619,SA(0.6)
279,18.79545,-71.26506,SA(0.3)
280,19.58565,-70.94568,PGA
281,19.42111,-70.62242,SA(0.6)
282,19.3996,-70.64241,PGA
283,18.38677,-71.21829,SA(0.6)
284,18.84729,-71.68923,SA(0.3)
285,19.13446,-70.01221,SA(0.6)
286,19.23865,-70.32123,PGA
287,18.47373,-70.01334,SA(0.6)
288,18.41397,-70.03485,SA(1.0)
289,17.99142,-71.21532,PGA
290,18.64121,-68.57698,SA(0.6)
291,18.42247,-71.77378,SA(0.6)
292,19.23478,-70.03406,PGA
293,18.50663,-70.13351,SA(0.3)
294,18.44607,-71.19217,SA(0.6)
295,18.58585,-71.88479,PGA
296,19.21126,-69.42575,SA(0.6)
297,19.07911,-70.19937,SA(1.0)
298,19.48716,-70.39203,PGA
299,18.55981,-71.20362,SA(0.3)
300,18.91458,-71.58988,SA(0.3)
301,19.66566,-71.65401,PGA
302,18.44607,-71.19217,PGA
303,19.59996,-71.02072,SA(0.3)
304,18.29558,-71.59704,SA(0.6)
305,19.59996,-71.02072,PGA
306,18.88811,-71.21651,PGA
307,18.37255,-70.36785,PGA
308,19.48991,-70.84554,PGA
309,19.46248,-70.69921,SA(0.6)
310,19.4222,-70.32984,SA(0.3)
311,19.58964,-70.57723,SA(0.6)
312,18.27361,-70.21242,SA(0.3)
313,18.4441,-68.6701,PGA
314,19.45067,-70.00796,SA(0.3)
315,19.39603,-70.21466,PGA
316,18.04708,-71.20526,SA(0.3)
317,19.3905,-70.51666,PGA
318,19.01134,-70.42779,SA(0.6)
319,18.70913,-71.40612,PGA
320,19.83809,-71.06916,PGA
321,18.63583,-70.90402,PGA
322,19.83809,-71.06916,SA(0.3)
323,18.63583,-70.90402,SA(0.3)
324,19.01562,-71.59172,SA(0.6)
325,19.01134,-70.42779,PGA
326,18.6959,-69.25253,SA(0.3)
327,18.70913,-71.40612,SA(0.3)
328,19.66566,-71.65401,SA(0.6)
329,18.06619,-71.15303,PGA
330,19.4222,-70.32984,PGA
331,18.64722,-71.44302,PGA
332,19.28527,-69.24252,PGA
333,18.95356,-71.68534,PGA
334,19.36772,-70.57581,SA(0.6)
335,18.34917,-68.63031,SA(0.6)
336,18.98038,-69.14,SA(0.3)
337,19.66795,-70.82006,SA(0.6)
338,18.18162,-71.70919,PGA
339,19.4419,-70.78402,SA(0.6)
340,19.6992,-70.92124,SA(0.3)
341,18.58445,-69.25711,SA(0.6)
342,18.6403,-71.04649,PGA
343,19.04976,-70.82268,SA(0.6)
344,19.42373,-70.64409,PGA
345,19.3905,-70.51666,SA(0.6)
346,19.42373,-70.64409,SA(0.3)
347,18.12061,-71.31796,SA(0.3)
348,18.54428,-70.00495,SA(0.6)
349,18.77233,-69.83444,SA(0.3)
350,18.64722,-71.44302,SA(0.3)
351,18.52534,-70.05078,SA(0.3)
352,19.16943,-69.64651,PGA
353,19.38837,-71.31888,SA(0.3)
354,18.3939,-70.79988,SA(0.3)
355,17.82098,-71.4799,SA(0.6)
356,19.42917,-70.45895,SA(0.3)
357,19.66342,-71.00429,PGA
358,19.42917,-70.45895,PGA
359,19.10473,-70.30261,SA(0.6)
360,19.22495,-70.51054,PGA
361,18.41758,-70.54844,PGA
362,19.60098,-70.67043,SA(0.3)
363,18.75686,-71.11577,SA(0.3)
364,18.92894,-71.75544,PGA
365,19.13656,-71.57244,PGA
366,18.81349,-71.00833,SA(0.3)
367,19.13656,-71.57244,SA(0.3)
368,18.1999,-71.24659,SA(1.0)
369,18.45064,-69.43347,SA(0.3)
