"bin_index","bin_from","bin_to","interpolation","interval_type"
1,1e-06,2e-06,1.5e-06,1201
2,2e-06,3e-06,2.5e-06,1201
3,3e-06,4e-06,3.5e-06,1201
4,4e-06,5e-06,4.5e-06,1201
5,5e-06,6e-06,5.5e-06,1201
6,6e-06,7e-06,6.5e-06,1201
7,7e-06,8e-06,7.5e-06,1201
8,8e-06,9e-06,8.5e-06,1201
9,9e-06,1e-05,9.5e-06,1201
10,1e-05,1.1e-05,1.05e-05,1201
11,1.1e-05,1.2e-05,1.15e-05,1201
12,1.2e-05,1.3e-05,1.25e-05,1201
13,1.3e-05,1.4e-05,1.35e-05,1201
14,1.4e-05,1.5e-05,1.45e-05,1201
15,1.5e-05,1.6e-05,1.55e-05,1201
16,1.6e-05,1.7e-05,1.65e-05,1201
17,1.7e-05,1.8e-05,1.75e-05,1201
18,1.8e-05,1.9e-05,1.85e-05,1201
19,1.9e-05,2e-05,1.95e-05,1201
20,2e-05,2.1e-05,2.05e-05,1201
21,2.1e-05,2.2e-05,2.15e-05,1201
22,2.2e-05,2.3e-05,2.25e-05,1201
23,2.3e-05,2.4e-05,2.35e-05,1201
24,2.4e-05,2.5e-05,2.45e-05,1201
25,2.5e-05,2.6e-05,2.55e-05,1201
26,2.6e-05,2.7e-05,2.65e-05,1201
27,2.7e-05,2.8e-05,2.75e-05,1201
28,2.8e-05,2.9e-05,2.85e-05,1201
29,2.9e-05,3e-05,2.95e-05,1201
30,3e-05,3.1e-05,3.05e-05,1201
31,3.1e-05,3.2e-05,3.15e-05,1201
32,3.2e-05,3.3e-05,3.25e-05,1201
33,3.3e-05,3.4e-05,3.35e-05,1201
34,3.4e-05,3.5e-05,3.45e-05,1201
35,3.5e-05,3.6e-05,3.55e-05,1201
36,3.6e-05,3.7e-05,3.65e-05,1201
37,3.7e-05,3.8e-05,3.75e-05,1201
38,3.8e-05,3.9e-05,3.85e-05,1201
39,3.9e-05,4e-05,3.95e-05,1201
40,4e-05,4.1e-05,4.05e-05,1201
41,4.1e-05,4.2e-05,4.15e-05,1201
42,4.2e-05,4.3e-05,4.25e-05,1201
43,4.3e-05,4.4e-05,4.35e-05,1201
44,4.4e-05,4.5e-05,4.45e-05,1201
45,4.5e-05,4.6e-05,4.55e-05,1201
46,4.6e-05,4.7e-05,4.65e-05,1201
47,4.7e-05,4.8e-05,4.75e-05,1201
48,4.8e-05,4.9e-05,4.85e-05,1201
49,4.9e-05,5e-05,4.95e-05,1201
50,5e-05,5.1e-05,5.05e-05,1201
51,5.1e-05,5.2e-05,5.15e-05,1201
52,5.2e-05,5.3e-05,5.25e-05,1201
53,5.3e-05,5.4e-05,5.35e-05,1201
