"bin_index","bin_from","bin_to","interpolation","interval_type"
1,0.05,0.052973,0.0514865,1201
2,0.052973,0.055946,0.0544595,1201
3,0.055946,0.058919,0.0574325,1201
4,0.058919,0.061892,0.0604055,1201
5,0.061892,0.064865,0.0633785,1201
6,0.064865,0.067838,0.0663515,1201
7,0.067838,0.070811,0.0693245,1201
8,0.070811,0.073784,0.0722975,1201
9,0.073784,0.076757,0.0752705,1201
10,0.076757,0.07973,0.0782435,1201
11,0.07973,0.082703,0.0812165,1201
12,0.082703,0.085676,0.0841895,1201
13,0.085676,0.088649,0.0871625,1201
14,0.088649,0.091622,0.0901355,1201
15,0.091622,0.094595,0.0931085,1201
16,0.094595,0.097568,0.0960815,1201
17,0.097568,0.100541,0.0990545,1201
18,0.100541,0.103514,0.1020275,1201
19,0.103514,0.106486,0.105,1201
20,0.106486,0.109459,0.1079725,1201
21,0.109459,0.112432,0.1109455,1201
22,0.112432,0.115405,0.1139185,1201
23,0.115405,0.118378,0.1168915,1201
24,0.118378,0.121351,0.1198645,1201
25,0.121351,0.124324,0.1228375,1201
26,0.124324,0.127297,0.1258105,1201
27,0.127297,0.13027,0.1287835,1201
28,0.13027,0.133243,0.1317565,1201
29,0.133243,0.136216,0.1347295,1201
30,0.136216,0.139189,0.1377025,1201
31,0.139189,0.142162,0.1406755,1201
32,0.142162,0.145135,0.1436485,1201
33,0.145135,0.148108,0.1466215,1201
34,0.148108,0.151081,0.1495945,1201
35,0.151081,0.154054,0.1525675,1201
36,0.154054,0.157027,0.1555405,1201
37,0.157027,0.16,0.1585135,1201
38,0.16,0.162973,0.1614865,1201
39,0.162973,0.165946,0.1644595,1201
40,0.165946,0.168919,0.1674325,1201
41,0.168919,0.171892,0.1704055,1201
42,0.171892,0.174865,0.1733785,1201
43,0.174865,0.177838,0.1763515,1201
44,0.177838,0.180811,0.1793245,1201
45,0.180811,0.183784,0.1822975,1201
46,0.183784,0.186757,0.1852705,1201
47,0.186757,0.18973,0.1882435,1201
48,0.18973,0.192703,0.1912165,1201
49,0.192703,0.195676,0.1941895,1201
50,0.195676,0.198649,0.1971625,1201
51,0.198649,0.201622,0.2001355,1201
52,0.201622,0.204595,0.2031085,1201
53,0.204595,0.207568,0.2060815,1201
54,0.207568,0.210541,0.2090545,1201
55,0.210541,0.213514,0.2120275,1201
56,0.213514,0.216486,0.215,1201
57,0.216486,0.219459,0.2179725,1201
58,0.219459,0.222432,0.2209455,1201
59,0.222432,0.225405,0.2239185,1201
60,0.225405,0.228378,0.2268915,1201
61,0.228378,0.231351,0.2298645,1201
62,0.231351,0.234324,0.2328375,1201
63,0.234324,0.237297,0.2358105,1201
64,0.237297,0.24027,0.2387835,1201
65,0.24027,0.243243,0.2417565,1201
66,0.243243,0.246216,0.2447295,1201
67,0.246216,0.249189,0.2477025,1201
68,0.249189,0.252162,0.2506755,1201
69,0.252162,0.255135,0.2536485,1201
70,0.255135,0.258108,0.2566215,1201
71,0.258108,0.261081,0.2595945,1201
72,0.261081,0.264054,0.2625675,1201
73,0.264054,0.267027,0.2655405,1201
74,0.267027,0.27,0.2685135,1201
75,0.27,0.272973,0.2714865,1201
76,0.272973,0.275946,0.2744595,1201
77,0.275946,0.278919,0.2774325,1201
78,0.278919,0.281892,0.2804055,1201
79,0.281892,0.284865,0.2833785,1201
80,0.284865,0.287838,0.2863515,1201
81,0.287838,0.290811,0.2893245,1201
82,0.290811,0.293784,0.2922975,1201
83,0.293784,0.296757,0.2952705,1201
84,0.296757,0.29973,0.2982435,1201
85,0.29973,0.302703,0.3012165,1201
